channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1338,-52,-1.4215930347159011
2,0.7,1407,-285,-7.597974143639872
3,0.9,1388,-470,-12.615460986732947
4,1.31,1393,-449,-12.030142807362761
5,2.2,1409,-331,-8.818048785649205
6,3.93,1414,-270,-7.1802416305234145
7,4.7,1416,-318,-8.45075465489847
8,6.55,1408,-246,-6.55592202793502
9,9.18,1408,0,0.0
