event_type,pre_event_time,post_event_time,event_time,event_key,planet,sun_sep_deg,mercury_sep_deg,venus_sep_deg,earth_sep_deg,mars_sep_deg,jupiter_sep_deg,saturn_sep_deg,uranus_sep_deg,neptune_sep_deg
DISAPPEARANCE,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1974-09-09 23:59:59.197,1974-09-09 23:59:57.272|1974-09-09 23:59:59.197|DISAPPEARANCE,mercury,19.00194100272705,0.0,100.76501856864732,35.32972411788976,46.5910204554937,111.5010596744406,130.66261091951486,24.096421789628415,17.26237424985672
DISAPPEARANCE,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1974-09-11 00:00:03.257,1974-09-11 00:00:01.332|1974-09-11 00:00:03.257|DISAPPEARANCE,mercury,14.603102267665355,0.0,102.12822674993197,51.96670486186505,49.07197069538891,108.67136973100969,133.53883358463304,27.011567536068725,14.429379592490525
DISAPPEARANCE,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1974-09-13 23:59:52.527,1974-09-13 23:59:50.602|1974-09-13 23:59:52.527|DISAPPEARANCE,mercury,21.804209907001898,0.0,105.9005788644821,82.26207498477068,56.26198160294451,100.46351977681698,141.86125387950594,35.48738981065455,6.69055472338851
DISAPPEARANCE,1974-09-14 23:05:09.805,1974-09-14 23:05:11.730,1974-09-14 23:05:11.730,1974-09-14 23:05:09.805|1974-09-14 23:05:11.730|DISAPPEARANCE,mercury,35.06574707515885,0.0,107.05640866977866,90.01632161365843,58.52232508524035,97.87962542700073,144.472077799648,38.15879009145436,4.823750822604214
REAPPEARANCE,1974-09-14 23:08:40.992,1974-09-14 23:08:42.917,1974-09-14 23:08:42.917,1974-09-14 23:08:40.992|1974-09-14 23:08:42.917|REAPPEARANCE,mercury,35.01943540547614,0.0,107.05950849336739,90.04635169228209,58.528169830572885,97.87296443144884,144.47879188100603,38.16568356720656,4.820067889226242
DISAPPEARANCE,1974-09-15 02:45:07.702,1974-09-15 02:45:11.511,1974-09-15 02:45:11.511,1974-09-15 02:45:07.702|1974-09-15 02:45:11.511|DISAPPEARANCE,mercury,40.89336446635102,0.0,107.23945301286852,91.88411721762127,58.87992527171884,97.47214074133589,144.88372283631023,38.580658027143905,4.603172726901135
REAPPEARANCE,1974-09-15 02:53:03.853,1974-09-15 02:53:09.588,1974-09-15 02:53:09.588,1974-09-15 02:53:03.853|1974-09-15 02:53:09.588|REAPPEARANCE,mercury,40.83181242981718,0.0,107.24644293472771,91.9507136427245,58.89313485529029,97.45708726835066,144.89888949667932,38.59623920960804,4.595903778495164
DISAPPEARANCE,1974-09-15 06:25:51.561,1974-09-15 06:25:53.486,1974-09-15 06:25:53.486,1974-09-15 06:25:51.561|1974-09-15 06:25:53.486|DISAPPEARANCE,mercury,48.46637080986381,0.0,107.42244327960297,93.76114490521788,59.23815617575465,97.06393320306891,145.29592658541867,39.00331984707585,4.412022462447654
REAPPEARANCE,1974-09-15 06:36:27.087,1974-09-15 06:36:29.012,1974-09-15 06:36:29.012,1974-09-15 06:36:27.087|1974-09-15 06:36:29.012|REAPPEARANCE,mercury,48.48451344461317,0.0,107.43167467715945,93.84445239239137,59.25567427631511,97.0439634649532,145.31603627328104,39.023990401173,4.403958704229577
DISAPPEARANCE,1974-09-15 10:07:13.894,1974-09-15 10:07:17.704,1974-09-15 10:07:17.704,1974-09-15 10:07:13.894|1974-09-15 10:07:17.704|DISAPPEARANCE,mercury,58.2160965597948,0.0,107.60530211268168,95.63713808823451,59.59697886837857,96.65502091888446,145.70865881379743,39.42674844895689,4.254468841971811
REAPPEARANCE,1974-09-15 10:19:42.676,1974-09-15 10:19:44.601,1974-09-15 10:19:44.601,1974-09-15 10:19:42.676|1974-09-15 10:19:44.601|REAPPEARANCE,mercury,58.4257381038517,0.0,107.61613803666914,95.73659918465864,59.617550868088,96.6315784212189,145.73225469790316,39.45101916612904,4.247119307931989
DISAPPEARANCE,1974-09-15 13:48:30.604,1974-09-15 13:48:32.529,1974-09-15 13:48:32.529,1974-09-15 13:48:30.604|1974-09-15 13:48:32.529|DISAPPEARANCE,mercury,70.2547164383038,0.0,107.78735420406699,97.51400195454693,59.95501854320993,96.24698426526159,146.1203211989227,39.84931059068723,4.134980135994269
REAPPEARANCE,1974-09-15 14:02:39.234,1974-09-15 14:02:41.159,1974-09-15 14:02:41.159,1974-09-15 14:02:39.234|1974-09-15 14:02:41.159|REAPPEARANCE,mercury,70.77829449215353,0.0,107.79961885991166,97.62410603252468,59.97835689982765,96.22038874469334,146.14707671138436,39.876848787589346,4.1292546041575955
DISAPPEARANCE,1974-09-15 21:11:26.714,1974-09-15 21:11:28.639,1974-09-15 21:11:28.639,1974-09-15 21:11:26.714|1974-09-15 21:11:28.639|DISAPPEARANCE,mercury,97.68509029678397,0.0,108.149776083606,101.2648987943805,60.670247283453975,95.43178166480646,146.94216627974396,40.693634050198526,4.021530931388047
REAPPEARANCE,1974-09-15 21:28:26.232,1974-09-15 21:28:30.042,1974-09-15 21:28:30.042,1974-09-15 21:28:26.232|1974-09-15 21:28:30.042|REAPPEARANCE,mercury,98.88471325876976,0.0,108.16442504309222,101.39134257715874,60.69825216649812,95.39986705595663,146.9742371234297,40.72668723873382,4.021497132889391
DISAPPEARANCE,1974-09-16 00:52:58.641,1974-09-16 00:53:02.451,1974-09-16 00:53:02.451,1974-09-16 00:52:58.641|1974-09-16 00:53:02.451|DISAPPEARANCE,mercury,109.91773155373976,0.0,108.33004963021338,103.13683645400921,61.02724942619558,95.0248155904457,147.35212951490536,41.11518190871311,4.030908127772005
REAPPEARANCE,1974-09-16 01:11:09.185,1974-09-16 01:11:14.920,1974-09-16 01:11:14.920,1974-09-16 01:11:09.185|1974-09-16 01:11:14.920|REAPPEARANCE,mercury,111.23896869798357,0.0,108.345658748876,103.26868062490664,61.05715900530036,94.99072853663692,147.38636297418694,41.15048843283259,4.034606445768345
DISAPPEARANCE,1974-09-16 04:34:34.397,1974-09-16 04:34:36.322,1974-09-16 04:34:36.322,1974-09-16 04:34:34.397|1974-09-16 04:34:36.322|DISAPPEARANCE,mercury,119.8195583321723,0.0,108.50965438405912,105.0053882139918,61.38375365110779,94.61836689643796,147.76134649836317,41.53621897795143,4.084229166971691
REAPPEARANCE,1974-09-16 04:53:57.891,1974-09-16 04:53:59.816,1974-09-16 04:53:59.816,1974-09-16 04:53:57.891|1974-09-16 04:53:59.816|REAPPEARANCE,mercury,121.1221930588515,0.0,108.52621609857937,105.1421403717709,61.41556209237563,94.58211311786921,147.79773326222747,41.573773003851514,4.092022475079374
DISAPPEARANCE,1974-09-16 08:16:06.382,1974-09-16 08:16:17.892,1974-09-16 08:16:17.892,1974-09-16 08:16:06.382|1974-09-16 08:16:17.892|DISAPPEARANCE,mercury,127.43289732547257,0.0,108.68870813903555,106.87039769881353,61.73998052318775,94.2121767688356,148.1700672757028,41.95700962293639,4.179731755159118
REAPPEARANCE,1974-09-16 08:36:35.164,1974-09-16 08:36:38.974,1974-09-16 08:36:38.974,1974-09-16 08:36:35.164|1974-09-16 08:36:38.974|REAPPEARANCE,mercury,128.63160259360913,0.0,108.70602542901811,107.01024296082424,61.77331651411535,94.1741789149436,148.2081796869168,41.996373519853776,4.1917117459278685
REAPPEARANCE,1974-09-16 12:19:18.177,1974-09-16 12:19:21.986,1974-09-16 12:19:21.986,1974-09-16 12:19:18.177|1974-09-16 12:19:21.986|REAPPEARANCE,mercury,134.2357916713825,0.0,108.88523351121353,108.87400130031827,62.130696109629895,93.76660825542933,148.61801129340415,42.41861601990339,4.330681002774128
DISAPPEARANCE,1974-09-16 15:39:29.620,1974-09-16 15:39:33.429,1974-09-16 15:39:33.429,1974-09-16 15:39:29.620|1974-09-16 15:39:33.429|DISAPPEARANCE,mercury,137.4357875625159,0.0,109.04476864957034,110.58559668585112,62.450810525785315,93.40145262206609,148.98509786621864,42.79692765676395,4.4846088241052975
REAPPEARANCE,1974-09-16 16:01:53.564,1974-09-16 16:01:55.489,1974-09-16 16:01:55.489,1974-09-16 16:01:53.564|1974-09-16 16:01:55.489|REAPPEARANCE,mercury,138.3933442321662,0.0,109.06366409456118,110.73064939065175,62.48735072632589,93.35979268344815,149.02682533530256,42.84009090732421,4.504996020049685
REAPPEARANCE,1974-09-16 19:44:26.832,1974-09-16 19:44:28.757,1974-09-16 19:44:28.757,1974-09-16 19:44:26.832|1974-09-16 19:44:28.757|REAPPEARANCE,mercury,141.49024185599683,0.0,109.24146109011014,112.58128298868242,62.84354624018702,92.95342420610818,149.4349205315191,43.261114387530625,4.710697081684976
DISAPPEARANCE,1974-09-16 23:02:58.231,1974-09-16 23:03:00.156,1974-09-16 23:03:00.156,1974-09-16 23:02:58.231|1974-09-16 23:03:00.156|DISAPPEARANCE,mercury,143.05778449915462,0.0,109.39848264814665,114.27865498274993,63.16014526359752,92.59213082820173,149.7976533387423,43.635440050318174,4.915884803127677
REAPPEARANCE,1974-09-16 23:27:03.977,1974-09-16 23:27:05.902,1974-09-16 23:27:05.902,1974-09-16 23:27:03.977|1974-09-16 23:27:05.902|REAPPEARANCE,mercury,143.8048590080108,0.0,109.41869579057948,114.42601729962114,63.19940817638192,92.54735430615558,149.84243484741717,43.681837260609434,4.943840474682818
DISAPPEARANCE,1974-09-17 00:00:01.541,1974-09-17 00:00:03.466,1974-09-17 00:00:03.466,1974-09-17 00:00:01.541|1974-09-17 00:00:03.466|DISAPPEARANCE,mercury,145.382311281764,0.0,109.44253264460987,118.61286736320099,63.24700620200712,92.5002276501751,149.8912195006673,43.73353814939199,4.977157171303448
DISAPPEARANCE,1974-09-17 02:44:43.604,1974-09-17 02:44:45.529,1974-09-17 02:44:45.529,1974-09-17 02:44:43.604|1974-09-17 02:44:45.529|DISAPPEARANCE,mercury,144.86972629936147,0.0,109.57446281796175,116.11546522593031,63.514226706093,92.18801064207773,150.20296129464995,44.05414591298159,5.169169796098926
REAPPEARANCE,1974-09-17 03:09:35.433,1974-09-17 03:09:37.358,1974-09-17 03:09:37.358,1974-09-17 03:09:35.433|1974-09-17 03:09:37.358|REAPPEARANCE,mercury,145.52981947915285,0.0,109.59524955453904,116.26284030110574,63.5546919991877,92.1418553525906,150.24908472339905,44.101973702915075,5.200471949376032
DISAPPEARANCE,1974-09-17 06:26:29.044,1974-09-17 06:26:30.969,1974-09-17 06:26:30.969,1974-09-17 06:26:29.044|1974-09-17 06:26:30.969|DISAPPEARANCE,mercury,146.22514980560968,0.0,109.74986085077178,117.94508772549298,63.86790247260518,91.78426122680398,150.60759762828462,44.47247014560321,5.442871227732013
REAPPEARANCE,1974-09-17 06:52:06.945,1974-09-17 06:52:12.680,1974-09-17 06:52:12.680,1974-09-17 06:52:06.945|1974-09-17 06:52:12.680|REAPPEARANCE,mercury,146.81219039151577,0.0,109.7712712892361,118.09282320148819,63.9096714736046,91.7366109979325,150.65517531001427,44.52184885243227,5.477380933439155
DISAPPEARANCE,1974-09-17 10:08:16.326,1974-09-17 10:08:18.251,1974-09-17 10:08:18.251,1974-09-17 10:08:16.326|1974-09-17 10:08:18.251|DISAPPEARANCE,mercury,147.22932738979316,0.0,109.92471771817965,119.76710182191223,64.22123606433557,91.3808050003472,151.0116282323865,44.89049004122088,5.734036017489243
REAPPEARANCE,1974-09-17 10:34:38.381,1974-09-17 10:34:40.306,1974-09-17 10:34:40.306,1974-09-17 10:34:38.381|1974-09-17 10:34:40.306|REAPPEARANCE,mercury,147.75020295333687,0.0,109.9466176389524,119.91364046881914,64.26404995355443,91.33195335330208,151.06036311224642,44.94111494848905,5.771331771270274
DISAPPEARANCE,1974-09-17 13:50:03.633,1974-09-17 13:50:05.558,1974-09-17 13:50:05.558,1974-09-17 13:50:03.633|1974-09-17 13:50:05.558|DISAPPEARANCE,mercury,147.9587902871688,0.0,110.09902532352152,121.58102306325631,64.5741938647582,90.97767598016554,151.41500718669636,45.30816753790174,6.040044070022277
REAPPEARANCE,1974-09-17 14:16:52.560,1974-09-17 14:16:54.485,1974-09-17 14:16:54.485,1974-09-17 14:16:52.560|1974-09-17 14:16:54.485|REAPPEARANCE,mercury,148.4263183605462,0.0,110.121244015101,121.72963270477072,64.61769501643796,90.92804182841145,151.4644770872532,45.35960881243799,6.079618395477841
DISAPPEARANCE,1974-09-17 17:31:50.977,1974-09-17 17:31:54.787,1974-09-17 17:31:54.787,1974-09-17 17:31:50.977|1974-09-17 17:31:54.787|DISAPPEARANCE,mercury,148.4717542015234,0.0,110.27282783380718,123.38648247915432,64.92684343584075,90.57479258059429,151.8178033662465,45.725584272129886,6.358747186789686
