channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,816,-104,-3.6407282184728254
2,0.7,832,-88,-3.05085107923876
3,0.9,825,-45,-1.5666989036012806
4,1.31,840,-48,-1.6561573424216502
5,2.2,842,18,0.6203209651160199
6,3.93,841,-151,-5.206896551724138
7,4.7,833,-177,-6.132686518775849
8,6.55,825,-17,-0.5918640302493726
9,9.18,828,-32,-1.1120768749710654
