frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
4,1.31,0,,,Random-003,rv2_coarse,random
5,2.2,1,12.56487001787383,12.56487001787383,Random-003,rv2_coarse,random
6,3.93,1,6.151484391337748,6.151484391337748,Random-003,rv2_coarse,random
7,4.7,1,6.594372550543361,6.594372550543361,Random-003,rv2_coarse,random
8,6.55,1,-1.298806816046046,-1.298806816046046,Random-003,rv2_coarse,random
9,9.18,1,-6.4855676022874915,-6.4855676022874915,Random-003,rv2_coarse,random
1,0.45,45,6.598389597583546,0.9836298454816196,Random-004,rv2_coarse,random
2,0.7,44,0.3054365210969169,0.04604628807954294,Random-004,rv2_coarse,random
3,0.9,42,11.31769915614583,1.7463588936564425,Random-004,rv2_coarse,random
4,1.31,42,-6.892222672361345,-1.063493047030037,Random-004,rv2_coarse,random
5,2.2,46,-13.66997735608505,-2.0155282019743286,Random-004,rv2_coarse,random
6,3.93,42,-16.390965498244327,-2.5291808854921687,Random-004,rv2_coarse,random
7,4.7,42,-10.02365093374373,-1.546682917927308,Random-004,rv2_coarse,random
8,6.55,44,-0.08332148097474677,-0.012561185880453225,Random-004,rv2_coarse,random
9,9.18,42,-3.627876262109824,-0.559793460491498,Random-004,rv2_coarse,random
1,0.45,3,5.284681782086469,3.051112449469134,Random-005,rv2_coarse,random
2,0.7,2,-4.533769483321189,-3.205859145993043,Random-005,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-005,rv2_coarse,random
4,1.31,3,-9.460804366401309,-5.462197947692182,Random-005,rv2_coarse,random
5,2.2,3,-7.254331087152112,-4.188290005957942,Random-005,rv2_coarse,random
6,3.93,3,-5.377765785916389,-3.1048545241375862,Random-005,rv2_coarse,random
7,4.7,3,-3.807262767192889,-2.198124183514454,Random-005,rv2_coarse,random
8,6.55,3,0.7498664648695053,0.4329356053486819,Random-005,rv2_coarse,random
9,9.18,3,4.673670747578957,2.6983450642183904,Random-005,rv2_coarse,random
1,0.45,1,-9.153337348407403,-9.153337348407403,Random-006,rv2_coarse,random
2,0.7,0,,,Random-006,rv2_coarse,random
3,0.9,0,,,Random-006,rv2_coarse,random
4,1.31,0,,,Random-006,rv2_coarse,random
5,2.2,1,12.56487001787383,12.56487001787383,Random-006,rv2_coarse,random
6,3.93,1,6.151484391337748,6.151484391337748,Random-006,rv2_coarse,random
7,4.7,1,6.594372550543361,6.594372550543361,Random-006,rv2_coarse,random
8,6.55,1,-1.298806816046046,-1.298806816046046,Random-006,rv2_coarse,random
