channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,839,31,1.0702388536275744
2,0.7,853,-31,-1.061419783966746
3,0.9,847,-75,-2.5770304977901857
4,1.31,860,-32,-1.0911909431527576
5,2.2,857,-55,-1.8787642106341764
6,3.93,858,-36,-1.2290197355980539
7,4.7,852,-172,-5.892622904516773
8,6.55,844,-56,-1.92759949430024
9,9.18,847,-31,-1.0651726057532769
