channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,2194,-16,-0.34158726501018394
2,0.7,2293,109,2.2762736474934213
3,0.9,2274,644,13.504877128078695
4,1.31,2299,567,11.825338282237137
5,2.2,2314,168,3.4924291496894666
6,3.93,2307,-487,-10.139234416646064
7,4.7,2299,-535,-11.157947056431867
8,6.55,2297,-249,-5.1953983188752595
9,9.18,2304,-16,-0.3333333333333333
