source,freq_label,freq_mhz,ingress_metric,ingress_stderr,egress_metric,egress_stderr,combined_metric,combined_stderr
crab_nebula,0.45,0.45,-323.6349320588302,120.32393695247364,64.91985725380562,127.02051118171644,-258.7150748050245,175.57776069312808
crab_nebula,0.7,0.7,253.99992068950047,31.91480243312579,-338.661351368165,31.349509690883473,-84.66143067866463,46.94023832954084
crab_nebula,0.9,0.9,15397.567161993196,756.0877979943267,-16885.761773750062,742.3566805978019,-1488.1946117568662,1285.1151865121783
crab_nebula,1.31,1.31,425.36861366437296,18.453914061687584,-526.3818886753879,18.59168077762839,-101.01327501101498,33.87373148834448
crab_nebula,2.2,2.2,126.94121143687607,5.032516844488083,-72.55148607476855,5.295116097391976,54.38972536210753,9.974624397593605
crab_nebula,3.93,3.93,29.583012972382363,12.916018232308618,-19.381928098600305,14.769776722386686,10.201084873782069,19.66747238180348
crab_nebula,4.7,4.7,15.718555506030443,8.837222203165082,-21.920794628139166,8.26524095007688,-6.202239122108715,12.142318446446208
crab_nebula,6.55,6.55,-33.64638052753018,-31.49397073877284,-37.625866837406015,-38.2819493206955,-71.27224736493618,-49.58484018545533
crab_nebula,9.18,9.18,20.79365937113523,-14.000452918365538,-16.699406923128958,-17.320714452023452,4.094252448006272,-22.29342800724219
cygnus_a,0.45,0.45,0.29765045818046776,106.78730944219379,-234.49790138855116,107.70753323492168,-234.2002509303707,152.1133669043625
cygnus_a,0.7,0.7,55.48019914461071,25.212226879832404,-13.062193684868314,28.234027881564128,42.4180054597424,37.920075824048276
cygnus_a,0.9,0.9,7471.42845234855,597.9595554280075,1871.4690838939873,635.4078732293219,9342.897536242539,885.9488137668612
cygnus_a,1.31,1.31,205.8123804559946,15.946228307106656,31.28793096865536,16.120518345272153,237.10031142464993,23.16505586398361
cygnus_a,2.2,2.2,3.037725966817959,5.001265015476517,47.828921062969954,5.589038306208022,50.86664702978791,7.725286749473202
cygnus_a,3.93,3.93,19.283989894246186,9.762085024131098,75.12063389838174,11.822136497788913,94.40462379262792,15.434245149124223
cygnus_a,4.7,4.7,41.331246900289344,7.128328161044345,27.946190514759422,8.701267281694237,69.27743741504877,11.261152818435946
cygnus_a,6.55,6.55,-10.02519965823258,-27.951332291082313,82.3535066878152,-23.83862983269699,72.3283070295826,-36.835132970221444
cygnus_a,9.18,9.18,-18.629157685224413,-13.208195312901998,18.500745616677847,-11.188257200225488,-0.12841206854655854,-17.345784888931306
fornax_a,0.45,0.45,-406.37849823418145,139.69573841523575,-75.55078689345775,124.4084966054071,-481.9292851276392,187.4440527940466
fornax_a,0.7,0.7,-110.02714706481548,33.344206119267014,222.3201850650864,35.760012046281425,112.29303800027093,49.43365911530324
fornax_a,0.9,0.9,-10014.836838798738,837.8802908623132,13344.29236770304,821.644463765766,3329.455528904302,1267.1557842379007
fornax_a,1.31,1.31,-201.58990924466912,21.6272374422923,345.14340568707377,22.178569656289323,143.5534964424046,32.943224698810894
fornax_a,2.2,2.2,75.28971869497788,6.81808892976436,172.89473837694774,7.4858006046463155,248.18445707192564,10.569815863107706
fornax_a,3.93,3.93,123.32671580139989,13.941472336570293,98.26495854905261,15.137612561487503,221.5916743504525,20.59311688075956
fornax_a,4.7,4.7,51.124234191658644,9.8390188424601,41.614547760261495,9.773201442058463,92.73878195192013,13.873602229852658
fornax_a,6.55,6.55,87.06876769836569,-35.35764610693967,20.4447093034847,-33.22614259689502,107.5134770018504,-48.549130668957446
fornax_a,9.18,9.18,53.28912429794308,-16.94439852899475,29.20657847023688,-17.043482722422638,82.49570276817995,-24.043349934759558
jupiter,0.45,0.45,-72.34312812690912,83.67824038885199,116.85734378609196,87.75299323307425,44.514215659182845,121.83921132818483
jupiter,0.7,0.7,-6.230376569284601,23.472679910973497,-19.64361889278966,24.47609326503593,-25.873995462074273,33.93865722140103
jupiter,0.9,0.9,1697.9872045116656,602.9903804460713,-845.0888753658352,566.3409169597365,852.89832914583,832.2782728144552
jupiter,1.31,1.31,46.61413064068655,13.844138136919751,-45.883584588642115,14.098482683518728,0.7305460520444433,20.024766746547982
jupiter,2.2,2.2,-5.303598685028406,4.5752515748996965,4.4282482860106365,4.8061211891436795,-0.8753503990177697,6.663236689589246
jupiter,3.93,3.93,2.355679956739066,10.06165746553767,19.024048858449635,10.033237291626003,21.379728815188702,14.234603424577065
jupiter,4.7,4.7,17.286014363636582,6.400944926365632,3.2997750348383703,5.762567287291438,20.58578939847495,8.636189841546615
jupiter,6.55,6.55,-114.2547054120559,-24.106056550313436,-13.448083468509187,-20.63627691685656,-127.70278888056508,-31.937035990256394
jupiter,9.18,9.18,-31.5929910166238,-11.122572029192195,-15.361396218641694,-11.33606709279236,-46.95438723526549,-15.900385167305856
mars,0.45,0.45,116.80270392456909,85.4540880474126,-94.93333986679527,83.17947910995915,21.869364057773808,119.75435949100213
mars,0.7,0.7,69.77966470515891,24.094209743281965,13.36293406418875,23.16319187364529,83.14259876934766,33.48528408976335
mars,0.9,0.9,3511.170500615939,691.8668883705635,-281.36071511659827,647.7148812899098,3229.8097854993407,954.6973954257577
mars,1.31,1.31,68.71836771740045,15.723179283544093,35.96953618532115,16.56271780011282,104.68790390272159,22.867620735776413
mars,2.2,2.2,13.305697436961605,3.87416641157041,29.1606920589664,4.514642587665654,42.466389495928006,5.99587998594292
mars,3.93,3.93,-4.342593506474885,9.839525815654316,-4.17932390561679,9.112240123794793,-8.521917412091675,13.418255213297792
mars,4.7,4.7,15.681925510927563,6.453828168207676,16.220827831638292,6.043759077666277,31.902753342565855,8.846802562332407
