target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-324,random,rv2_coarse,797176,4294974,436433463.33210176,517046325.0974609,80612861.76535916,3.129654213474252,0.0017501218274551533
Random-325,random,rv2_coarse,964941,4127209,545677534.7770963,494781868.223545,-50895666.55355126,-1.9613265596510416,0.049840940940248935
Random-326,random,rv2_coarse,374219,4717931,410248481.0317308,511896428.61058384,101647947.57885307,3.137453275735983,0.0017042243459768347
Random-327,random,rv2_coarse,974308,4117842,452980109.56015134,516598903.277261,63618793.71710968,2.6683505569105885,0.00762246801348776
Random-328,random,rv2_coarse,1192615,3899535,570324773.8901819,484272336.4301989,-86052437.45998299,-3.417040060814029,0.0006330596332262406
Random-329,random,rv2_coarse,1950,5090200,339929415.58834136,504489399.8848723,164559984.29653096,0.508412419708422,0.6111641446831655
Random-330,random,rv2_coarse,639231,4452919,496704550.8014465,505534876.9966435,8830326.195196986,0.27258202881046417,0.7851745279157203
Random-331,random,rv2_coarse,314455,4777695,373853302.286948,513020350.918954,139167048.632006,3.964341420508755,7.359885302760105e-05
Random-332,random,rv2_coarse,472367,4619783,464523464.29954845,508506406.12201697,43982941.82246852,1.2027720630665057,0.22906453848137476
Random-333,random,rv2_coarse,822822,4269328,419398375.4763482,520813719.5240502,101415344.04770195,4.040520444062419,5.33327153948715e-05
Random-334,random,rv2_coarse,682669,4409481,376933746.06579024,524164594.9174941,147230848.85170388,5.690829498635225,1.264236981768363e-08
Random-335,random,rv2_coarse,755038,4337112,446128879.2509221,514575263.1987637,68446383.94784164,2.5772127162464153,0.009960063626132554
Random-336,random,rv2_coarse,1148078,3944072,582916146.0529451,481578835.91531825,-101337310.13762689,-4.018991803174287,5.844770398000243e-05
Random-337,random,rv2_coarse,764052,4328098,445079048.47961706,514903144.17682445,69824095.69720739,2.4804456309545824,0.013121827346674664
Random-338,random,rv2_coarse,2042,5090108,324540882.81645596,504498547.6087468,179957664.79229087,0.5821832701508244,0.5604432409492461
Random-339,random,rv2_coarse,323965,4768185,444278770.40426105,508512994.7349691,64234224.33070803,1.7037651671902712,0.08842496793824717
Random-340,random,rv2_coarse,9680,5082470,4178082941.384442,497429588.9167615,-3680653352.4676805,-5.5208994831945075,3.372686818714499e-08
Random-341,random,rv2_coarse,2006,5090144,331684399.6727747,504494459.6358435,172810059.96306884,0.5492169889564599,0.5828565468335576
Random-342,random,rv2_coarse,22453,5069697,14882734.724736463,506594505.27548283,491711770.5507464,44.640785647278925,0.0
Random-343,random,rv2_coarse,1137444,3954706,517166522.9274752,500762091.32857287,-16404431.598902345,-0.699058047448592,0.48451575511867917
Random-344,random,rv2_coarse,19744,5072406,539668255.5452161,504289206.26954734,-35379049.27566874,-0.24604962315571088,0.8056438192645103
Random-345,random,rv2_coarse,2458,5089692,271096751.4132266,504539066.3795374,233442314.9663108,0.9088118476374795,0.36344945164607734
Random-346,random,rv2_coarse,19623,5072527,38760113.859565504,506227806.3655665,467467692.506001,13.829380569838145,0.0
Random-347,random,rv2_coarse,844701,4247449,567679360.5237595,491847102.14074236,-75832258.38301712,-2.62234347944929,0.00873273700884325
Random-348,random,rv2_coarse,1241681,3850469,492408556.59264296,508301834.5806356,15893277.987992644,0.7001099865654942,0.48385861961497545
Random-349,random,rv2_coarse,451843,4640307,441328583.8829469,510570437.3281663,69241853.4452194,2.115652319182212,0.03437438860409947
Random-350,random,rv2_coarse,12459,5079691,53526870.067904286,505532307.8471108,452005437.7792065,8.75595333816811,0.0
Random-351,random,rv2_coarse,515696,4576454,408088537.83618313,515282176.7784414,107193638.9422583,3.5229471742594587,0.00042677641474075934
Random-352,random,rv2_coarse,21495,5070655,9578737.712955775,506524090.2185684,496945352.5056126,45.99580994101512,0.0
Random-353,random,rv2_coarse,11523,5080627,64090916.76973804,505425075.6885788,441334158.91884077,7.898644103152443,2.886579864025407e-15
Random-354,random,rv2_coarse,14512,5077638,12627047.691375026,505831956.1060235,493204908.4146485,42.35500829265398,0.0
Random-355,random,rv2_coarse,888493,4203657,431766054.3680963,519784009.1878814,88017954.81978512,3.614489930403955,0.00030093951158738363
Random-356,random,rv2_coarse,236937,4855213,540218817.2603204,502679692.88868797,-37539124.37163246,-0.8280368275041717,0.4076496437970589
Random-357,random,rv2_coarse,638021,4454129,406624315.76908183,518435804.86399674,111811489.09491491,4.215173435033605,2.4958630844285068e-05
Random-358,random,rv2_coarse,27765,5064385,12709718.220956296,507122171.85857105,494412453.6376147,46.22390211061,0.0
Random-359,random,rv2_coarse,305793,4786357,424093870.47488445,509558703.774133,85464833.29924858,2.46626340698038,0.013653089115278405
Random-360,random,rv2_coarse,655966,4436184,365459030.4982218,524975092.8398322,159516062.34161037,6.223038400313315,4.876179460211461e-10
Random-361,random,rv2_coarse,11677,5080473,56292797.49670392,505456376.7306717,449163579.2339678,8.174377383275589,2.220446049250313e-16
Random-362,random,rv2_coarse,982965,4109185,480478639.14299273,510154962.6335106,29676323.490517855,1.2505076098602848,0.21111417720427683
Random-363,random,rv2_coarse,1284123,3808027,642760397.8183582,457778108.0141163,-184982289.8042419,-7.269078031131959,3.6193270602780103e-13
Random-364,random,rv2_coarse,1165,5090985,116023894.06482027,504515263.31697875,388491369.25215846,5.2735091652032,1.338395667627168e-07
Random-365,random,rv2_coarse,1289095,3803055,635603557.6937466,459962171.84583277,-175641385.8479138,-6.936309936638752,4.0247805088711175e-12
Random-366,random,rv2_coarse,821839,4270311,423342347.28222394,520031340.6462196,96688993.36399567,3.854306518592685,0.00011605812125514703
Random-367,random,rv2_coarse,323931,4768219,429304659.48385036,509529809.34875494,80225149.86490458,2.155559631626827,0.031118067577432296
Random-368,random,rv2_coarse,659979,4432171,417384521.43483436,517387480.44295526,100002959.0081209,3.8163113274962326,0.00013546156794252973
Random-369,random,rv2_coarse,210196,4881954,544612838.1358165,502696126.49557495,-41916711.6402415,-0.7608793383720198,0.4467291405894711
Random-370,random,rv2_coarse,1049216,4042934,510479508.04579765,502855485.18491644,-7624022.860881209,-0.31148237050828026,0.7554339430700321
Random-371,random,rv2_coarse,822590,4269560,521411613.87754357,501153942.37224585,-20257671.50529772,-0.6838499211027911,0.49406993960585455
Random-372,random,rv2_coarse,28355,5063795,12309995.118383002,507182015.80885345,494872020.69047046,46.377135416717024,0.0
