channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,640,-78,-3.08322071866417
2,0.7,654,-104,-4.06672181243003
3,0.9,650,-124,-4.863680151426964
4,1.31,659,-55,-2.1424958146119546
5,2.2,656,60,2.342606428329091
6,3.93,660,-26,-1.0120486274099798
7,4.7,653,-41,-1.6044539843994063
8,6.55,645,-51,-2.0081230389433022
9,9.18,647,-83,-3.2630667059786185
