event_type,pre_event_time,post_event_time,gap_seconds
Egress,1974-10-02 00:09:09.415,1974-10-02 00:09:11.340,1.925
Ingress,1974-10-02 00:09:19.000,1974-10-02 00:09:20.208,1.208
Egress,1974-10-02 00:09:24.058,1974-10-02 00:09:25.983,1.925
Ingress,1974-10-02 00:09:34.360,1974-10-02 00:09:35.568,1.208
Egress,1974-10-02 00:09:40.135,1974-10-02 00:09:41.343,1.208
Ingress,1974-10-02 00:09:49.720,1974-10-02 00:09:50.927,1.207
Egress,1974-10-02 00:09:55.495,1974-10-02 00:09:56.702,1.207
Ingress,1974-10-02 00:10:05.080,1974-10-02 00:10:06.287,1.207
Egress,1974-10-02 00:10:10.855,1974-10-02 00:10:12.062,1.207
Ingress,1974-10-02 00:10:20.440,1974-10-02 00:10:21.647,1.207
Egress,1974-10-02 00:10:26.215,1974-10-02 00:10:27.422,1.207
Ingress,1974-10-02 00:10:35.800,1974-10-02 00:10:37.007,1.207
Egress,1974-10-02 00:10:41.575,1974-10-02 00:10:42.782,1.207
Ingress,1974-10-02 00:10:51.160,1974-10-02 00:10:52.367,1.207
Egress,1974-10-02 00:10:56.935,1974-10-02 00:10:58.142,1.207
Ingress,1974-10-02 00:11:06.520,1974-10-02 00:11:07.727,1.207
Egress,1974-10-02 00:11:12.295,1974-10-02 00:11:13.502,1.207
Ingress,1974-10-02 00:11:21.880,1974-10-02 00:11:23.087,1.207
Egress,1974-10-02 00:11:27.655,1974-10-02 00:11:28.862,1.207
Ingress,1974-10-02 00:11:37.240,1974-10-02 00:11:38.447,1.207
Egress,1974-10-02 00:11:43.015,1974-10-02 00:11:44.222,1.207
Ingress,1974-10-02 00:11:52.600,1974-10-02 00:11:53.807,1.207
Egress,1974-10-02 00:11:58.375,1974-10-02 00:11:59.582,1.207
Ingress,1974-10-02 00:12:07.242,1974-10-02 00:12:07.960,0.718
Egress,1974-10-02 00:12:13.735,1974-10-02 00:12:14.942,1.207
Ingress,1974-10-05 00:00:00.055,1974-10-05 00:00:01.980,1.925
Egress,1974-10-05 00:00:03.905,1974-10-05 00:00:05.830,1.925
Ingress,1974-10-06 00:00:03.133,1974-10-06 00:00:05.058,1.925
Egress,1974-10-06 00:00:08.908,1974-10-06 00:00:10.833,1.925
Ingress,1974-10-09 00:00:58.832,1974-10-09 00:01:00.121,1.289
Egress,1974-10-09 00:01:03.971,1974-10-09 00:01:04.607,0.636
Ingress,1974-10-09 00:01:14.192,1974-10-09 00:01:15.480,1.288
Egress,1974-10-09 00:01:19.330,1974-10-09 00:01:19.967,0.637
Ingress,1974-10-09 00:01:29.552,1974-10-09 00:01:30.840,1.288
Egress,1974-10-09 00:01:34.690,1974-10-09 00:01:35.327,0.637
Ingress,1974-10-09 00:01:44.911,1974-10-09 00:01:46.200,1.289
Egress,1974-10-09 00:01:50.050,1974-10-09 00:01:50.686,0.636
Ingress,1974-10-09 00:01:59.635,1974-10-09 00:02:01.560,1.925
Egress,1974-10-09 00:02:05.410,1974-10-09 00:02:06.046,0.636
Ingress,1974-10-09 00:02:15.631,1974-10-09 00:02:16.920,1.289
Egress,1974-10-09 00:02:20.770,1974-10-09 00:02:21.406,0.636
Ingress,1974-10-09 00:02:30.991,1974-10-09 00:02:32.279,1.288
Egress,1974-10-09 00:02:36.129,1974-10-09 00:02:36.766,0.637
Ingress,1974-10-09 00:02:46.351,1974-10-09 00:02:47.639,1.288
Egress,1974-10-09 00:02:51.489,1974-10-09 00:02:52.126,0.637
Ingress,1974-10-09 00:03:01.711,1974-10-09 00:03:02.999,1.288
Egress,1974-10-09 00:03:06.849,1974-10-09 00:03:07.486,0.637
Ingress,1974-10-09 00:03:17.071,1974-10-09 00:03:18.359,1.288
Egress,1974-10-09 00:03:22.209,1974-10-09 00:03:22.846,0.637
Ingress,1974-10-09 00:03:32.431,1974-10-09 00:03:33.719,1.288
Egress,1974-10-09 00:03:37.569,1974-10-09 00:03:38.206,0.637
Ingress,1974-10-09 00:03:47.791,1974-10-09 00:03:49.079,1.288
Egress,1974-10-09 00:03:52.929,1974-10-09 00:03:53.566,0.637
Ingress,1974-10-09 00:04:03.151,1974-10-09 00:04:04.438,1.287
Egress,1974-10-09 00:04:08.288,1974-10-09 00:04:08.926,0.638
Ingress,1974-10-09 00:04:17.873,1974-10-09 00:04:19.798,1.925
Egress,1974-10-09 00:04:23.648,1974-10-09 00:04:24.286,0.638
Ingress,1974-10-09 00:04:33.871,1974-10-09 00:04:35.158,1.287
Egress,1974-10-09 00:04:39.008,1974-10-09 00:04:39.646,0.638
Ingress,1974-10-09 00:04:49.231,1974-10-09 00:04:50.518,1.287
Egress,1974-10-09 00:04:54.368,1974-10-09 00:04:55.006,0.638
Ingress,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,1.925
Egress,1974-10-10 00:00:06.381,1974-10-10 00:00:08.306,1.925
Ingress,1974-10-12 23:59:54.152,1974-10-12 23:59:56.077,1.925
Egress,1974-10-12 23:59:58.002,1974-10-12 23:59:59.927,1.925
Ingress,1974-10-18 23:59:48.451,1974-10-18 23:59:50.376,1.925
Egress,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,1.925
Ingress,1974-10-19 23:59:53.182,1974-10-19 23:59:55.107,1.925
Egress,1974-10-19 23:59:57.032,1974-10-19 23:59:58.957,1.925
Ingress,1974-10-24 23:59:56.611,1974-10-24 23:59:58.536,1.925
Egress,1974-10-25 00:00:02.386,1974-10-25 00:00:04.311,1.925
Ingress,1974-10-26 00:00:00.978,1974-10-26 00:00:02.903,1.925
Egress,1974-10-26 00:00:04.828,1974-10-26 00:00:06.753,1.925
Ingress,1974-11-03 23:58:37.660,1974-11-03 23:58:39.585,1.925
Egress,1974-11-03 23:58:43.435,1974-11-03 23:58:45.360,1.925
Ingress,1974-11-03 23:58:49.210,1974-11-04 00:00:07.586,78.376
Egress,1974-11-04 00:00:07.586,1974-11-04 00:00:09.511,1.925
Ingress,1974-11-04 00:00:09.818,1974-11-04 00:00:11.436,1.6179999999999999
Egress,1974-11-04 00:00:15.593,1974-11-04 00:00:17.211,1.6179999999999999
Ingress,1974-11-04 00:00:19.443,1974-11-04 00:00:21.368,1.925
Egress,1974-11-04 00:00:22.945,1974-11-04 00:00:24.870,1.925
Ingress,1974-11-04 00:00:25.177,1974-11-04 00:00:26.795,1.6179999999999999
Egress,1974-11-04 00:00:30.952,1974-11-04 00:00:32.570,1.6179999999999999
Ingress,1974-11-04 00:00:34.802,1974-11-04 00:00:36.727,1.925
Egress,1974-11-04 00:00:38.305,1974-11-04 00:00:40.230,1.925
Ingress,1974-11-04 00:00:40.537,1974-11-04 00:00:42.155,1.6179999999999999
Egress,1974-11-04 00:00:46.312,1974-11-04 00:00:47.930,1.6179999999999999
Ingress,1974-11-04 00:00:50.162,1974-11-04 00:00:52.087,1.925
Egress,1974-11-04 00:00:53.664,1974-11-04 00:00:55.589,1.925
Ingress,1974-11-04 00:00:55.589,1974-11-04 00:00:57.514,1.925
Egress,1974-11-04 00:01:01.364,1974-11-04 00:01:03.289,1.925
Ingress,1974-11-04 00:01:07.446,1974-11-04 00:01:09.024,1.5779999999999998
Egress,1974-11-04 00:01:09.024,1974-11-04 00:01:10.949,1.925
Ingress,1974-11-04 00:01:11.256,1974-11-04 00:01:12.874,1.6179999999999999
Egress,1974-11-04 00:01:17.031,1974-11-04 00:01:18.649,1.6179999999999999
Ingress,1974-11-04 00:01:22.806,1974-11-04 00:01:24.384,1.5779999999999998
Egress,1974-11-04 00:01:24.384,1974-11-04 00:01:26.309,1.925
Ingress,1974-11-04 00:01:26.616,1974-11-04 00:01:28.234,1.6179999999999999
Egress,1974-11-04 00:01:32.391,1974-11-04 00:01:34.009,1.6179999999999999
Ingress,1974-11-04 00:01:38.166,1974-11-04 00:01:39.743,1.577
Egress,1974-11-04 00:01:39.743,1974-11-04 00:01:41.668,1.925
Ingress,1974-11-04 00:01:41.668,1974-11-04 00:01:43.593,1.925
Egress,1974-11-04 00:01:47.750,1974-11-04 00:01:49.368,1.6179999999999999
Ingress,1974-11-04 00:01:53.525,1974-11-04 00:01:55.103,1.5779999999999998
Egress,1974-11-04 00:01:55.103,1974-11-04 00:01:57.028,1.925
Ingress,1974-11-04 00:01:57.335,1974-11-04 00:01:58.953,1.6179999999999999
Egress,1974-11-04 00:02:03.110,1974-11-04 00:02:04.728,1.6179999999999999
Ingress,1974-11-04 00:02:22.012,1974-11-04 00:02:25.822,3.81
Egress,1974-11-04 00:02:25.822,1974-11-04 00:02:27.747,1.925
Ingress,1974-11-04 00:02:28.054,1974-11-04 00:02:29.672,1.6179999999999999
Egress,1974-11-04 00:02:33.522,1974-11-04 00:02:33.829,0.307
Ingress,1974-11-04 00:02:39.604,1974-11-04 00:02:41.181,1.577
Egress,1974-11-04 00:02:41.181,1974-11-04 00:02:43.106,1.925
Ingress,1974-11-04 00:02:43.414,1974-11-04 00:02:45.031,1.617
Egress,1974-11-04 00:02:48.881,1974-11-04 00:02:49.189,0.308
Ingress,1974-11-04 00:02:54.964,1974-11-04 00:02:56.541,1.577
Egress,1974-11-04 00:02:56.541,1974-11-04 00:02:58.466,1.925
Ingress,1974-11-04 00:02:58.773,1974-11-04 00:03:00.391,1.6179999999999999
Egress,1974-11-04 00:03:04.241,1974-11-04 00:03:04.548,0.307
Ingress,1974-11-04 00:03:10.323,1974-11-04 00:03:11.900,1.577
Egress,1974-11-04 00:03:11.900,1974-11-04 00:03:13.825,1.925
Ingress,1974-11-04 00:03:13.825,1974-11-04 00:03:15.750,1.925
Egress,1974-11-04 00:03:19.600,1974-11-04 00:03:19.908,0.308
Ingress,1974-11-04 00:03:25.683,1974-11-04 00:03:27.260,1.577
Egress,1974-11-04 00:03:27.260,1974-11-04 00:03:29.185,1.925
Ingress,1974-11-04 00:03:29.185,1974-11-04 00:03:31.110,1.925
