channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1916,-64,-1.4621173196318522
2,0.7,2020,-432,-9.611873844983672
3,0.9,1998,-682,-15.257614321865486
4,1.31,2012,-296,-6.598993838602105
5,2.2,2023,-247,-5.491601460781125
6,3.93,2033,-413,-9.159702373176467
7,4.7,1996,-536,-11.997327691760653
8,6.55,1997,-243,-5.437725009589936
9,9.18,2006,-148,-3.304427677099388
