target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,10439,32649,151888137.84436977,373346761.5264564,221458623.68208665,2.107714068658728,0.03505572963959147
Cygnus-A,fixed,rv2_coarse,197,42891,5138614.26427665,321138382.90141493,315999768.6371383,4.925482368476102,8.415249892479437e-07
Sag-A,fixed,rv2_coarse,6464,36624,242922620.65227184,333243416.01513666,90320795.36286482,0.46438645876951073,0.6423708900090914
Random-00,random,rv2_coarse,6630,36458,432495006.5501261,299180338.87232745,-133314667.67779863,-0.5553887454794336,0.5786287889520083
Random-01,random,rv2_coarse,8966,34122,517166094.678643,267805154.53800884,-249360940.14063415,-1.2727553064521389,0.2031048852570696
Random-02,random,rv2_coarse,7702,35386,422937468.98386323,297221904.19716656,-125715564.78669667,-0.6182458835639348,0.5364132685471148
Random-03,random,rv2_coarse,4444,38644,372327116.627034,313640849.33609647,-58686267.29093754,-0.21275608572613888,0.8315172179990296
Random-04,random,rv2_coarse,8133,34955,547109064.5945023,266780737.11021492,-280328327.4842874,-1.3159474356473704,0.18819168592173807
Random-05,random,rv2_coarse,853,42235,103601122.5476993,324057936.0838514,220456813.5361521,2.358120083062339,0.01836775022709025
Random-06,random,rv2_coarse,11044,32044,382889899.4639068,297912952.1394104,-84976947.32449645,-0.5717263857502282,0.5675073558365631
Random-07,random,rv2_coarse,6862,36226,107356445.03023729,359914944.0246553,252558498.994418,2.603022654291243,0.00924058474758338
Random-08,random,rv2_coarse,8705,34383,447882044.61668086,287239202.2117455,-160642842.40493536,-0.7683153124430834,0.4422998796548301
Random-09,random,rv2_coarse,9361,33727,357535501.4253982,309190525.66761047,-48344975.757787704,-0.3282841104779967,0.742696857071454
Random-10,random,rv2_coarse,6817,36271,108290906.94970754,359425975.9962089,251135069.04650137,2.583387401141574,0.009783539674540487
Random-11,random,rv2_coarse,163,42925,2593008.0893884203,320897752.53852254,318304744.4491341,4.967050095802719,6.797903204791567e-07
Random-12,random,rv2_coarse,9185,33903,235850547.83997628,342408382.91963744,106557835.07966116,0.9747328792953013,0.3296927790881079
Random-13,random,rv2_coarse,6337,36751,85019071.34122962,360158712.2240287,275139640.8827991,3.1690720108307366,0.0015292650083866821
Random-14,random,rv2_coarse,171,42917,7789990.894005848,320936379.5137539,313146388.61974806,4.869701339455217,1.1176704939330762e-06
Random-15,random,rv2_coarse,182,42906,2360412.2332160026,321039693.5861699,318679281.3529539,4.970939458297006,6.66292545359326e-07
Random-16,random,rv2_coarse,7014,36074,261590626.80324674,330990797.572675,69400170.76942825,0.3740649898446446,0.7083559650551621
Random-17,random,rv2_coarse,2326,40762,203997595.91809973,326295576.27027994,122297980.35218021,0.6525769385151178,0.5140290569249713
Random-18,random,rv2_coarse,7170,35918,380887540.6311416,307478006.0612887,-73409534.56985289,-0.36130690169514085,0.717870034907174
Random-19,random,rv2_coarse,7238,35850,102733380.83682907,363497196.0261557,260763815.18932664,2.726141908490948,0.006407944167512669
Random-20,random,rv2_coarse,11052,32036,334605311.15628016,314549281.71854925,-20056029.43773091,-0.14867821871247544,0.8818075491380324
Random-21,random,rv2_coarse,9855,33233,369882723.05109924,304810412.91385275,-65072310.13724649,-0.44970638301663823,0.6529221682383055
Random-22,random,rv2_coarse,6909,36179,646153856.8874286,257350443.37321115,-388803413.5142175,-1.5513406834373737,0.12082006205719131
Random-23,random,rv2_coarse,21,43067,1175986.1011904762,319848932.8796184,318672946.77842796,4.990176423074458,6.032417161350168e-07
Random-24,random,rv2_coarse,6308,36780,104932192.97709382,356526547.4370621,251594354.45996827,2.5387840556961847,0.01112384599952132
Random-25,random,rv2_coarse,1917,41171,227144618.06090245,324002877.151682,96858259.09077957,0.566581483024478,0.5709985584448023
Random-26,random,rv2_coarse,5766,37322,125214015.69124366,349739421.08029956,224525405.3890559,2.175103784664363,0.02962233992306018
Random-27,random,rv2_coarse,9352,33736,162008718.23708132,363405654.34792113,201396936.1108398,1.8741215072784903,0.060913679590760106
Random-28,random,rv2_coarse,5453,37635,96238683.18787627,352070390.5569593,255831707.369083,2.8638560500592334,0.004185181595559806
Random-29,random,rv2_coarse,1207,41881,119093598.67091057,325474862.45406896,206381263.7831584,2.0889764770762653,0.03670984069568606
Random-30,random,rv2_coarse,8073,35015,317952800.4583319,320094980.1494941,2142179.6911622286,0.014615500489787587,0.9883389329712389
Random-31,random,rv2_coarse,6227,36861,315568833.78917104,320390427.8242447,4821594.035073638,0.02399596304643167,0.9808558288034985
Random-32,random,rv2_coarse,9,43079,1422944.173611111,319760112.3874066,318337168.2137955,4.986208425903407,6.157571741383094e-07
Random-33,random,rv2_coarse,8118,34970,452488596.31921107,288866350.1033828,-163622246.21582824,-0.7429702163006389,0.4574997125844573
Random-34,random,rv2_coarse,5213,37875,227388932.5348805,332398156.6397444,105009224.10486391,0.6680096901358744,0.5041274070279278
Random-35,random,rv2_coarse,6,43082,1479742.1875,319737937.1798321,318258194.9923321,4.98516202549414,6.19099101761833e-07
Random-36,random,rv2_coarse,10,43078,1122764.94375,319767571.8553603,318644806.9116103,4.990919049242546,6.00926798988155e-07
Random-37,random,rv2_coarse,7,43081,8086384.482142857,319744251.1395575,311657866.6574146,4.8542507142485904,1.208427747645402e-06
Random-38,random,rv2_coarse,3393,39695,351643874.18389076,316962615.5165313,-34681258.66735947,-0.15954936000348485,0.8732360726772552
Random-39,random,rv2_coarse,7268,35820,513820184.3872211,280304678.6127395,-233515505.7744816,-1.0220932206634818,0.30673678150266204
Random-40,random,rv2_coarse,9825,33263,509997641.8847783,263482904.6242583,-246514737.26052,-1.3438483221855155,0.1789974398958325
Random-41,random,rv2_coarse,4358,38730,343736667.0703878,316988233.74494964,-26748433.32543814,-0.09631298253831319,0.9232720004476629
Random-42,random,rv2_coarse,1558,41530,320415107.1528402,319666553.1204075,-748554.0324326754,-0.002768254699332616,0.9977912551360544
Random-43,random,rv2_coarse,5,43083,767662.825,319730632.72568125,318962969.90068126,4.996564369444791,5.836070089415557e-07
Random-44,random,rv2_coarse,6819,36269,107799446.08519737,359532224.9077639,251732778.8225665,2.589771999536801,0.009603951751948836
Random-45,random,rv2_coarse,1080,42008,426423881.8813657,316949649.9619781,-109474231.91938764,-0.28616184921108656,0.7747541623386933
Random-46,random,rv2_coarse,6977,36111,456679254.519272,293226649.1997921,-163452605.31947994,-0.7057364207275715,0.4803520671794641
Random-47,random,rv2_coarse,3463,39625,377878798.9304816,314608565.48488057,-63270233.445601046,-0.32107240754218125,0.7481555197935228
Random-48,random,rv2_coarse,506,42582,292806845.3418818,320013114.0926133,27206268.75073147,0.09360670293853691,0.9254215848223364
Random-49,random,rv2_coarse,8590,34498,356739685.03974324,310469151.6477262,-46270533.39201707,-0.27422852227317346,0.7839090103607056
Random-50,random,rv2_coarse,6490,36598,450345710.840229,296524810.7733091,-153820900.06691986,-0.6271917986808655,0.530533518541779
Random-51,random,rv2_coarse,1131,41957,297238812.15171516,320298915.3536016,23060103.201886415,0.09507006289642095,0.9242591766935158
