channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1783,-41,-0.9709753062921076
2,0.7,1879,-497,-11.465500000469977
3,0.9,1865,-727,-16.834297302936232
4,1.31,1882,-696,-16.04351150540358
5,2.2,1890,-638,-14.675394228680734
6,3.93,1894,-546,-12.545924086859518
7,4.7,1882,-594,-13.69230723305995
8,6.55,1846,-270,-6.284169865562324
9,9.18,1863,-75,-1.7376201171422898
