channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1993,-27,-0.6047976775813771
2,0.7,2082,-672,-14.727495898715636
3,0.9,2062,-952,-20.964891440999182
4,1.31,2096,-984,-21.49311979386153
5,2.2,2102,-766,-16.707536315779826
6,3.93,2106,-622,-13.553804006216719
7,4.7,2093,-565,-12.34991116491027
8,6.55,2108,-250,-5.445085523362901
9,9.18,2098,-80,-1.7465750223982899
