Receiver,Date,Channel_Freq,Time_Offset_Min,Actual_Time,Log_Cal_Temp
RAE-B BURST RECEIVER 1,1975/5/3,0.130,16.2254,1975-05-03 02:16:13,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,16.3961,1975-05-03 02:16:23,5.7493
RAE-B BURST RECEIVER 1,1975/5/3,0.130,16.5202,1975-05-03 02:16:31,5.8347
RAE-B BURST RECEIVER 1,1975/5/3,0.130,17.0786,1975-05-03 02:17:04,5.856
RAE-B BURST RECEIVER 1,1975/5/3,0.130,17.2027,1975-05-03 02:17:12,5.856
RAE-B BURST RECEIVER 1,1975/5/3,0.130,17.4664,1975-05-03 02:17:27,5.856
RAE-B BURST RECEIVER 1,1975/5/3,0.130,17.575,1975-05-03 02:17:34,6.048
RAE-B BURST RECEIVER 1,1975/5/3,0.130,18.5212,1975-05-03 02:18:31,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,18.6453,1975-05-03 02:18:38,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,18.8935,1975-05-03 02:18:53,5.7707
RAE-B BURST RECEIVER 1,1975/5/3,0.130,19.0176,1975-05-03 02:19:01,5.8987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,19.2968,1975-05-03 02:19:17,6.304
RAE-B BURST RECEIVER 1,1975/5/3,0.130,19.4209,1975-05-03 02:19:25,6.0267
RAE-B BURST RECEIVER 1,1975/5/3,0.130,20.0724,1975-05-03 02:20:04,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,20.6308,1975-05-03 02:20:37,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,20.7549,1975-05-03 02:20:45,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.0031,1975-05-03 02:21:00,6.2613
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.1582,1975-05-03 02:21:09,5.9627
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.2823,1975-05-03 02:21:16,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.4064,1975-05-03 02:21:24,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.546,1975-05-03 02:21:32,6.304
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.6856,1975-05-03 02:21:41,6.5387
RAE-B BURST RECEIVER 1,1975/5/3,0.130,21.8097,1975-05-03 02:21:48,6.2613
RAE-B BURST RECEIVER 1,1975/5/3,0.130,22.0889,1975-05-03 02:22:05,5.9627
