channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,712,58,2.173641898087998
2,0.7,755,-9,-0.3275435363610775
3,0.9,751,-119,-4.342371672754519
4,1.31,770,-22,-0.7928249671720918
5,2.2,771,33,1.1884659700082725
6,3.93,771,-65,-2.340917819713264
7,4.7,770,-152,-5.4776997731889985
8,6.55,763,-63,-2.280753134906389
9,9.18,760,-28,-1.0156667501540164
