frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
9,9.18,813,-4.506757051423844,-0.15805887050195078,Jupiter,rv2_coarse,planet
1,0.45,1947,-0.7198118781361043,-0.016313082525451498,Saturn,rv2_coarse,planet
2,0.7,1964,-12.59005862884077,-0.2840906960161793,Saturn,rv2_coarse,planet
3,0.9,1958,-21.652515093270754,-0.48933018459192457,Saturn,rv2_coarse,planet
4,1.31,1962,5.833649513392481,0.1317015334260805,Saturn,rv2_coarse,planet
5,2.2,1994,8.656594657723417,0.19385834702223528,Saturn,rv2_coarse,planet
6,3.93,1984,4.595012246659351,0.10316107029724778,Saturn,rv2_coarse,planet
7,4.7,1966,2.8253097676136996,0.06371978682040717,Saturn,rv2_coarse,planet
8,6.55,1950,-3.593178231093783,-0.08136946381311587,Saturn,rv2_coarse,planet
9,9.18,1954,-3.3602144902518947,-0.07601594880767734,Saturn,rv2_coarse,planet
1,0.45,845,9.213482599190566,0.31695343694310085,Uranus,rv2_coarse,planet
2,0.7,850,2.132035261699135,0.07312820617106805,Uranus,rv2_coarse,planet
3,0.9,856,5.238635340448523,0.17905286977723328,Uranus,rv2_coarse,planet
4,1.31,868,13.948921541566701,0.47345724746382106,Uranus,rv2_coarse,planet
5,2.2,877,13.5110324945431,0.45623514995104736,Uranus,rv2_coarse,planet
6,3.93,880,4.717426600082905,0.1590244182478167,Uranus,rv2_coarse,planet
7,4.7,868,-1.026273512630706,-0.03483399279200381,Uranus,rv2_coarse,planet
8,6.55,865,-1.2322820210910992,-0.041898845701323455,Uranus,rv2_coarse,planet
9,9.18,846,-2.8079102244714074,-0.09653794210357025,Uranus,rv2_coarse,planet
1,0.45,1976,8.154327025642464,0.18344025884009593,Neptune,rv2_coarse,planet
2,0.7,2026,-16.719892872206692,-0.37146146737761615,Neptune,rv2_coarse,planet
3,0.9,2013,-37.04526082955307,-0.8256781072402049,Neptune,rv2_coarse,planet
4,1.31,2028,-29.769277904767172,-0.6610500235345425,Neptune,rv2_coarse,planet
5,2.2,2045,-19.216208491339387,-0.4249335738583057,Neptune,rv2_coarse,planet
6,3.93,2032,-2.2111243296584453,-0.04905138917626906,Neptune,rv2_coarse,planet
7,4.7,2021,0.34915904589083363,0.007766764579115992,Neptune,rv2_coarse,planet
8,6.55,1989,0.14716868516576542,0.003299879021307303,Neptune,rv2_coarse,planet
9,9.18,1995,-3.240733392070881,-0.07255575306271629,Neptune,rv2_coarse,planet
