frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
5,2.2,3,-7.254331087152114,-4.188290005957943,Random-003,rv2_coarse,random
6,3.93,3,-5.4900556453167955,-3.1696851046896763,Random-003,rv2_coarse,random
7,4.7,3,-3.807262767192889,-2.198124183514454,Random-003,rv2_coarse,random
8,6.55,3,0.826677805056447,0.4772826532824286,Random-003,rv2_coarse,random
9,9.18,3,3.353973021894712,1.9364172270456546,Random-003,rv2_coarse,random
1,0.45,3,21.514900925898715,12.421633841155751,Random-004,rv2_coarse,random
2,0.7,2,3.6429638272321414,2.5759644258531456,Random-004,rv2_coarse,random
3,0.9,2,2.409330405551567,1.703653867884448,Random-004,rv2_coarse,random
4,1.31,2,-18.222593124295887,-12.885319168992979,Random-004,rv2_coarse,random
5,2.2,3,-19.463972535765198,-11.237529783023518,Random-004,rv2_coarse,random
6,3.93,3,-4.910249998781417,-2.8349341585848102,Random-004,rv2_coarse,random
7,4.7,3,-5.9515846707819895,-3.4361490117808313,Random-004,rv2_coarse,random
8,6.55,3,6.030686986345366,3.48181875496487,Random-004,rv2_coarse,random
9,9.18,3,8.431019835892078,4.867651571795365,Random-004,rv2_coarse,random
1,0.45,3,-5.284681782086471,-3.051112449469135,Random-005,rv2_coarse,random
2,0.7,2,0.0,0.0,Random-005,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-005,rv2_coarse,random
4,1.31,2,0.0,0.0,Random-005,rv2_coarse,random
5,2.2,3,7.254331087152114,4.188290005957943,Random-005,rv2_coarse,random
6,3.93,3,4.3703484571760365,2.52322185820305,Random-005,rv2_coarse,random
7,4.7,3,3.807262767192889,2.198124183514454,Random-005,rv2_coarse,random
8,6.55,3,-0.4282394212236979,-0.2472441451211115,Random-005,rv2_coarse,random
9,9.18,3,-3.748442499196273,-2.164164285952802,Random-005,rv2_coarse,random
1,0.45,5,4.093496906405326,1.8306674696814806,Random-006,rv2_coarse,random
2,0.7,4,-0.47177453096823374,-0.23588726548411687,Random-006,rv2_coarse,random
3,0.9,4,0.0,0.0,Random-006,rv2_coarse,random
4,1.31,4,0.0,0.0,Random-006,rv2_coarse,random
5,2.2,5,-5.619180697682975,-2.512974003574765,Random-006,rv2_coarse,random
6,3.93,5,-3.6639292311101115,-1.6385589651021495,Random-006,rv2_coarse,random
7,4.7,5,-2.9490930583947246,-1.3188745101086723,Random-006,rv2_coarse,random
8,6.55,5,0.6403418743325839,0.2863695919694571,Random-006,rv2_coarse,random
9,9.18,5,2.6082516200344794,1.1664455849642097,Random-006,rv2_coarse,random
1,0.45,3,-21.514900925898715,-12.421633841155751,Random-007,rv2_coarse,random
2,0.7,2,-3.6429638272321414,-2.5759644258531456,Random-007,rv2_coarse,random
3,0.9,2,-2.409330405551567,-1.703653867884448,Random-007,rv2_coarse,random
4,1.31,2,18.222593124295887,12.885319168992979,Random-007,rv2_coarse,random
5,2.2,3,19.463972535765198,11.237529783023518,Random-007,rv2_coarse,random
6,3.93,3,5.327259108979627,3.0756944806122735,Random-007,rv2_coarse,random
7,4.7,3,5.9515846707819895,3.4361490117808313,Random-007,rv2_coarse,random
8,6.55,3,-5.91606602932115,-3.415642314572166,Random-007,rv2_coarse,random
9,9.18,3,-8.044546954926664,-4.644521349935493,Random-007,rv2_coarse,random
1,0.45,19,-3.7723857103209575,-0.865444636176103,Random-008,rv2_coarse,random
2,0.7,16,-22.38143765692688,-5.59535941423172,Random-008,rv2_coarse,random
3,0.9,17,-25.826279016463076,-6.263792723620603,Random-008,rv2_coarse,random
4,1.31,14,-17.7344722514942,-4.739737078595769,Random-008,rv2_coarse,random
5,2.2,19,-4.723065010882856,-1.0835454255900632,Random-008,rv2_coarse,random
6,3.93,19,-4.299249141576257,-0.9863153969070999,Random-008,rv2_coarse,random
7,4.7,20,-3.84067346636781,-0.8588006950178176,Random-008,rv2_coarse,random
8,6.55,19,-2.183620593715878,-0.5009569210022,Random-008,rv2_coarse,random
9,9.18,21,0.8539898999545394,0.18635587425092578,Random-008,rv2_coarse,random
1,0.45,5,-4.303473074012013,-1.924571666566169,Random-009,rv2_coarse,random
2,0.7,3,2.10369660388872,1.214569800548454,Random-009,rv2_coarse,random
3,0.9,3,4.033205444287858,2.3285722489566587,Random-009,rv2_coarse,random
4,1.31,4,-1.4499095052489732,-0.7249547526244866,Random-009,rv2_coarse,random
5,2.2,5,9.641791620523891,4.311940297675855,Random-009,rv2_coarse,random
6,3.93,5,0.6340016668304078,0.2835341649761931,Random-009,rv2_coarse,random
7,4.7,5,1.853982731423391,0.8291262833146875,Random-009,rv2_coarse,random
8,6.55,5,-3.118133096866054,-1.3944715134968866,Random-009,rv2_coarse,random
9,9.18,5,-2.2974739611606636,-1.027461590738191,Random-009,rv2_coarse,random
1,0.45,3,-5.284681782086471,-3.051112449469135,Random-010,rv2_coarse,random
2,0.7,2,0.0,0.0,Random-010,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-010,rv2_coarse,random
4,1.31,2,0.0,0.0,Random-010,rv2_coarse,random
5,2.2,3,7.254331087152114,4.188290005957943,Random-010,rv2_coarse,random
