channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1144,-62,-1.8330684275661562
2,0.7,1169,-257,-7.5166766403774865
3,0.9,1168,-346,-10.124059232465294
4,1.31,1175,-299,-8.722726491574095
5,2.2,1175,-133,-3.8800087738439952
6,3.93,1182,-264,-7.678832398553581
7,4.7,1174,-312,-9.105851124517352
8,6.55,1160,-96,-2.8186570536705764
9,9.18,1166,-136,-3.9828104060704743
