target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv1_coarse,1,0.45,11.984787962410763,0.856,500
Cygnus-A,fixed,rv1_coarse,1,0.45,41.83559805858107,0.982,500
Sag-A,fixed,rv1_coarse,1,0.45,-5.477151268934082,0.172,500
Mercury,planet,rv1_coarse,1,0.45,-5.442782170480163,0.172,500
Venus,planet,rv1_coarse,1,0.45,11.499998547247568,0.822,500
Mars,planet,rv1_coarse,1,0.45,5.218345010571616,0.706,500
Jupiter,planet,rv1_coarse,1,0.45,-5.526091477663942,0.166,500
Saturn,planet,rv1_coarse,1,0.45,-3.5111567766914185,0.266,500
Uranus,planet,rv1_coarse,1,0.45,-6.948004941240151,0.078,500
Neptune,planet,rv1_coarse,1,0.45,-4.337317530645257,0.226,500
Fornax-A,fixed,rv1_coarse,2,0.7,-2.875036277017579,0.286,500
Cygnus-A,fixed,rv1_coarse,2,0.7,10.015457307821782,0.764,500
Sag-A,fixed,rv1_coarse,2,0.7,10.459225103164728,0.772,500
Mercury,planet,rv1_coarse,2,0.7,2.1697666023250157,0.51,500
Venus,planet,rv1_coarse,2,0.7,11.159186466040511,0.788,500
Mars,planet,rv1_coarse,2,0.7,14.32545875211584,0.87,500
Jupiter,planet,rv1_coarse,2,0.7,6.984413988785133,0.678,500
Saturn,planet,rv1_coarse,2,0.7,2.835915545330302,0.54,500
Uranus,planet,rv1_coarse,2,0.7,3.5989244924857617,0.566,500
Neptune,planet,rv1_coarse,2,0.7,4.788271059871145,0.598,500
Fornax-A,fixed,rv1_coarse,3,0.9,2.720320511391537,0.416,500
Cygnus-A,fixed,rv1_coarse,3,0.9,-0.8120435863146415,0.282,500
Sag-A,fixed,rv1_coarse,3,0.9,-8.815930521409133,0.106,500
Mercury,planet,rv1_coarse,3,0.9,3.2456131752732253,0.452,500
Venus,planet,rv1_coarse,3,0.9,6.576167796156946,0.564,500
Mars,planet,rv1_coarse,3,0.9,20.33590006406466,0.77,500
Jupiter,planet,rv1_coarse,3,0.9,3.239879843138455,0.452,500
Saturn,planet,rv1_coarse,3,0.9,5.2133126238334455,0.532,500
Uranus,planet,rv1_coarse,3,0.9,7.133277855843204,0.584,500
Neptune,planet,rv1_coarse,3,0.9,-5.087682389475463,0.176,500
Fornax-A,fixed,rv1_coarse,4,1.31,-3.3174368592163312,0.296,500
Cygnus-A,fixed,rv1_coarse,4,1.31,1.964186598381751,0.472,500
Sag-A,fixed,rv1_coarse,4,1.31,-7.212607729060809,0.138,500
Mercury,planet,rv1_coarse,4,1.31,5.655941182646817,0.504,500
Venus,planet,rv1_coarse,4,1.31,10.146664592742669,0.544,500
Mars,planet,rv1_coarse,4,1.31,28.307568955585232,0.838,500
Jupiter,planet,rv1_coarse,4,1.31,9.682141869959114,0.542,500
Saturn,planet,rv1_coarse,4,1.31,2.435193669193865,0.478,500
Uranus,planet,rv1_coarse,4,1.31,19.59525411667579,0.688,500
Neptune,planet,rv1_coarse,4,1.31,-1.7727643172461858,0.39,500
Fornax-A,fixed,rv1_coarse,5,2.2,-4.21979721472852,0.172,500
Cygnus-A,fixed,rv1_coarse,5,2.2,1.3448177155001224,0.422,500
Sag-A,fixed,rv1_coarse,5,2.2,-0.05022100767133812,0.39,500
Mercury,planet,rv1_coarse,5,2.2,9.457492132637789,0.716,500
Venus,planet,rv1_coarse,5,2.2,10.910314858939818,0.798,500
Mars,planet,rv1_coarse,5,2.2,15.693652906041166,0.918,500
Jupiter,planet,rv1_coarse,5,2.2,9.35601114610814,0.706,500
Saturn,planet,rv1_coarse,5,2.2,2.648653862128353,0.454,500
Uranus,planet,rv1_coarse,5,2.2,12.226679233655664,0.852,500
Neptune,planet,rv1_coarse,5,2.2,7.570164077672172,0.604,500
Fornax-A,fixed,rv1_coarse,6,3.93,1.5304954195991554,0.478,500
Cygnus-A,fixed,rv1_coarse,6,3.93,3.4808931933303953,0.59,500
Sag-A,fixed,rv1_coarse,6,3.93,1.4093238629835452,0.472,500
Mercury,planet,rv1_coarse,6,3.93,0.5326941147577503,0.412,500
Venus,planet,rv1_coarse,6,3.93,8.113465670069306,0.86,500
Mars,planet,rv1_coarse,6,3.93,-2.926224318709386,0.182,500
Jupiter,planet,rv1_coarse,6,3.93,16.55743623006722,0.93,500
Saturn,planet,rv1_coarse,6,3.93,-11.480033259883653,0.052,500
Uranus,planet,rv1_coarse,6,3.93,1.548928575061634,0.48,500
Neptune,planet,rv1_coarse,6,3.93,-1.8926859260232385,0.208,500
Fornax-A,fixed,rv1_coarse,7,4.7,-1.9518430074863016,0.234,500
Cygnus-A,fixed,rv1_coarse,7,4.7,10.246315097463583,0.918,500
Sag-A,fixed,rv1_coarse,7,4.7,4.044105307283834,0.712,500
Mercury,planet,rv1_coarse,7,4.7,-0.8833085961038306,0.336,500
Venus,planet,rv1_coarse,7,4.7,6.8225317897796405,0.864,500
Mars,planet,rv1_coarse,7,4.7,1.7720070326337107,0.5,500
Jupiter,planet,rv1_coarse,7,4.7,-1.0230406099123746,0.32,500
Saturn,planet,rv1_coarse,7,4.7,-4.576960418232018,0.09,500
Uranus,planet,rv1_coarse,7,4.7,-0.6768510763719852,0.352,500
Neptune,planet,rv1_coarse,7,4.7,3.6675517758047365,0.67,500
Fornax-A,fixed,rv1_coarse,8,6.55,6.076343734180259,0.554,500
Cygnus-A,fixed,rv1_coarse,8,6.55,31.910777592864616,0.918,500
Sag-A,fixed,rv1_coarse,8,6.55,1.5068321491003602,0.332,500
Mercury,planet,rv1_coarse,8,6.55,3.165011023582284,0.4,500
Venus,planet,rv1_coarse,8,6.55,2.0357708017612017,0.352,500
Mars,planet,rv1_coarse,8,6.55,-1.2430750229425287,0.24,500
Jupiter,planet,rv1_coarse,8,6.55,3.2244676629965046,0.4,500
Saturn,planet,rv1_coarse,8,6.55,-18.129186858945772,0.036,500
Uranus,planet,rv1_coarse,8,6.55,0.9698597056398803,0.314,500
Neptune,planet,rv1_coarse,8,6.55,0.6102731942627178,0.302,500
Fornax-A,fixed,rv1_coarse,9,9.18,6.918237039956984,0.826,500
Cygnus-A,fixed,rv1_coarse,9,9.18,0.7987374148787075,0.526,500
Sag-A,fixed,rv1_coarse,9,9.18,-4.808962439832156,0.146,500
Mercury,planet,rv1_coarse,9,9.18,-1.1485864473410927,0.328,500
Venus,planet,rv1_coarse,9,9.18,1.0867492127529157,0.55,500
Mars,planet,rv1_coarse,9,9.18,-1.3521154319045865,0.316,500
Jupiter,planet,rv1_coarse,9,9.18,27.25830912047349,0.958,500
Saturn,planet,rv1_coarse,9,9.18,-11.041732723001495,0.002,500
Uranus,planet,rv1_coarse,9,9.18,-0.9998336047869283,0.33,500
Neptune,planet,rv1_coarse,9,9.18,-4.531893256597537,0.162,500
