channel_id,frequency_mhz,n_events,sum_bits,S
1,0.45,1129,-31,-0.9226027034698933
2,0.7,1159,-295,-8.665234057829188
3,0.9,1146,-468,-13.824630875656954
4,1.31,1162,-506,-14.843880615876097
5,2.2,1175,-297,-8.664380494974937
6,3.93,1174,-214,-6.245679937970235
7,4.7,1157,-377,-11.08344245391356
8,6.55,1148,-198,-5.843785227399457
9,9.18,1153,-51,-1.501950163337089
