event,freq_label,event_type,delta,sigma,z_score,u_stat,p_dir,p_two,p_flip,q_dir,q_flip,detected_dir,detected_flip
fornax_a_egress,4.7,1.0,69.67949088608358,16.364270128151272,4.258026196121923,4.258026196121923,0.12871287128712872,0.297029702970297,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,6.55,1.0,-5.752990782853004,16.11159140160498,-0.3570715418142935,-0.3570715418142935,0.48514851485148514,0.900990099009901,0.5247524752475248,0.8732673267326733,1.0,0,0
fornax_a_egress,9.18,1.0,-22.61433127521328,18.808055053501604,-1.202374791592448,-1.202374791592448,0.6336633663366337,0.5346534653465347,0.37623762376237624,0.9970564624029972,0.9674681753889675,0,0
virgo_a_ingress,0.45,-1.0,2.124859029320538,15.388359198429898,0.13808223488423257,-0.13808223488423257,0.5148514851485149,0.8910891089108911,0.49504950495049505,0.8968380709038646,1.0,0,0
virgo_a_ingress,0.7,-1.0,-148.29657224938683,16.179603694669083,-9.165649236405471,9.165649236405471,0.019801980198019802,0.07920792079207921,1.0,0.4403028538147933,1.0,0,0
virgo_a_ingress,0.9,-1.0,-233.0188019542477,16.3259197341691,-14.272935659885324,14.272935659885324,0.10891089108910891,0.297029702970297,1.0,0.4403028538147933,1.0,0,0
virgo_a_ingress,1.31,-1.0,-267.3324220863153,17.730911382624825,-15.077195769433727,15.077195769433727,0.0594059405940594,0.19801980198019803,1.0,0.4403028538147933,1.0,0,0
virgo_a_ingress,2.2,-1.0,-112.57872521496287,13.185637720940498,-8.537981066791582,8.537981066791582,0.10891089108910891,0.26732673267326734,1.0,0.4403028538147933,1.0,0,0
virgo_a_ingress,3.93,-1.0,56.52006189735633,11.014132670312101,5.131594433186971,-5.131594433186971,0.8316831683168316,0.32673267326732675,0.1782178217821782,1.0,0.6415841584158416,0,0
virgo_a_ingress,4.7,-1.0,51.82075003278716,9.39964124662586,5.513056155349438,-5.513056155349438,0.8811881188118812,0.1782178217821782,0.12871287128712872,1.0,0.6169078446306169,0,0
virgo_a_ingress,6.55,-1.0,-0.3795852570540559,8.827272241766378,-0.0430014218048065,0.0430014218048065,0.44554455445544555,0.9900990099009901,1.0,0.8296346876066918,1.0,0,0
virgo_a_ingress,9.18,-1.0,-9.49302307338176,11.910674203831233,-0.7970181125706719,0.7970181125706719,0.24752475247524752,0.7425742574257426,1.0,0.5346534653465347,1.0,0,0
virgo_a_egress,0.45,1.0,25.043292598288122,16.234866431872717,1.5425622812099316,1.5425622812099316,0.16831683168316833,0.3564356435643564,1.0,0.4544554455445545,1.0,0,0
virgo_a_egress,0.7,1.0,76.97057958800326,16.784190000257496,4.585897775634237,4.585897775634237,0.16831683168316833,0.3465346534653465,1.0,0.4544554455445545,1.0,0,0
virgo_a_egress,0.9,1.0,103.4038691554221,18.61712354632923,5.554234460447056,5.554234460447056,0.24752475247524752,0.6534653465346535,1.0,0.5346534653465347,1.0,0,0
virgo_a_egress,1.31,1.0,138.6988205249624,19.82989937560232,6.994428862085414,6.994428862085414,0.13861386138613863,0.5445544554455446,1.0,0.4403028538147933,1.0,0,0
virgo_a_egress,2.2,1.0,-60.48610864463823,14.136111739781262,-4.278836341850689,-4.278836341850689,0.6831683168316832,0.5544554455445545,0.32673267326732675,0.9970564624029972,0.9356435643564355,0,0
virgo_a_egress,3.93,1.0,-76.007486813074,12.211981362117397,-6.22400940185314,-6.22400940185314,0.8613861386138614,0.27722772277227725,0.1485148514851485,1.0,0.6169078446306169,0,0
virgo_a_egress,4.7,1.0,-41.722430390290555,9.565604445109983,-4.361713954377385,-4.361713954377385,0.8316831683168316,0.297029702970297,0.1782178217821782,1.0,0.6415841584158416,0,0
virgo_a_egress,6.55,1.0,5.600850687264845,9.323462325855623,0.6007264781595876,0.6007264781595876,0.36633663366336633,0.8316831683168316,1.0,0.7065063649222064,1.0,0,0
virgo_a_egress,9.18,1.0,28.369657167250626,10.358999433935827,2.738648394391482,2.738648394391482,0.06930693069306931,0.18811881188118812,1.0,0.4403028538147933,1.0,0,0
