event,freq_label,event_type,delta,sigma,z_score,u_stat,p_dir,p_two,p_flip,q_dir,q_flip,detected_dir,detected_flip
crab_nebula_ingress,0.45,-1.0,-58.67687203664468,21.8154208712618,-2.6896969984173777,2.6896969984173777,0.07920792079207921,0.13861386138613863,1.0,0.4403028538147933,1.0,0,0
crab_nebula_ingress,0.7,-1.0,253.99992068950047,31.91480243312579,7.958686920332074,-7.958686920332074,0.9306930693069307,0.12871287128712872,0.07920792079207921,1.0,0.5346534653465347,0,0
crab_nebula_ingress,0.9,-1.0,689.0058531994181,33.83319669075008,20.364787267878555,-20.364787267878555,0.8910891089108911,0.15841584158415842,0.1188118811881188,1.0,0.6169078446306169,0,0
crab_nebula_ingress,1.31,-1.0,728.791051252505,31.61739488224754,23.050319419633933,-23.050319419633933,0.9603960396039604,0.06930693069306931,0.04950495049504951,1.0,0.44554455445544555,0,0
crab_nebula_ingress,2.2,-1.0,319.4271498381632,12.66351954539796,25.22420000956574,-25.22420000956574,1.0,0.009900990099009901,0.009900990099009901,1.0,0.44554455445544555,0,0
crab_nebula_ingress,3.93,-1.0,39.40985830897888,17.206443742788196,2.290412760364668,-2.290412760364668,0.594059405940594,0.6732673267326733,0.4158415841584158,0.9720972097209721,1.0,0,0
crab_nebula_ingress,4.7,-1.0,26.319184133264383,14.797064418701915,1.778676052798671,-1.778676052798671,0.6633663366336634,0.594059405940594,0.3465346534653465,0.9970564624029972,0.9356435643564355,0,0
crab_nebula_ingress,6.55,-1.0,19.020373844879465,17.803611797739062,1.0683435507897854,-1.0683435507897854,0.6732673267326733,0.6435643564356436,0.33663366336633666,0.9970564624029972,0.9356435643564355,0,0
crab_nebula_ingress,9.18,-1.0,-25.65692908990005,17.27491161327886,-1.485213335052789,1.485213335052789,0.1485148514851485,0.44554455445544555,1.0,0.44554455445544555,1.0,0,0
crab_nebula_egress,0.45,1.0,11.77034299877845,23.029548241980066,0.5110974333974362,0.5110974333974362,0.32673267326732675,0.7227722772277227,1.0,0.6732673267326733,1.0,0,0
