target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Mars,planet,rv2_coarse,8,6.55,1.0154194066033295,0.25210084033613445,476
Jupiter,planet,rv2_coarse,8,6.55,1.0268080037378187,0.5777310924369747,476
Saturn,planet,rv2_coarse,8,6.55,1.023086595290589,0.4117647058823529,476
Uranus,planet,rv2_coarse,8,6.55,1.0296282689516587,0.6764705882352942,476
Neptune,planet,rv2_coarse,8,6.55,1.0247318999945134,0.49159663865546216,476
Fornax-A,fixed,rv2_coarse,9,9.18,0.12504217873242238,0.27637130801687765,474
Cygnus-A,fixed,rv2_coarse,9,9.18,2.5339027044424234,0.7763713080168776,474
Sag-A,fixed,rv2_coarse,9,9.18,0.917269505090322,0.37763713080168776,474
Mercury,planet,rv2_coarse,9,9.18,-0.9958561557247354,0.12025316455696203,474
Venus,planet,rv2_coarse,9,9.18,2.5424335490038246,0.9008438818565401,474
Mars,planet,rv2_coarse,9,9.18,-0.37956062685024256,0.16877637130801687,474
Saturn,planet,rv2_coarse,9,9.18,-0.04621382670757051,0.2320675105485232,474
Uranus,planet,rv2_coarse,9,9.18,2.543622988251458,0.9219409282700421,474
Neptune,planet,rv2_coarse,9,9.18,0.6171499031829579,0.34177215189873417,474
