event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-10-02 00:05:09.390,1974-10-02 00:05:10.599,1.209
Ingress,1974-10-02 00:05:24.750,1974-10-02 00:05:25.959,1.209
Ingress,1974-10-02 00:05:40.110,1974-10-02 00:05:41.319,1.209
Ingress,1974-10-02 00:05:55.470,1974-10-02 00:05:56.679,1.209
Ingress,1974-10-02 00:06:10.830,1974-10-02 00:06:12.039,1.209
Ingress,1974-10-02 00:06:26.190,1974-10-02 00:06:27.399,1.209
Ingress,1974-10-02 00:06:41.550,1974-10-02 00:06:42.759,1.209
Ingress,1974-10-02 00:06:56.194,1974-10-02 00:06:58.119,1.925
Ingress,1974-10-02 00:07:11.553,1974-10-02 00:07:13.478,1.925
Ingress,1974-10-02 00:07:26.913,1974-10-02 00:07:27.630,0.717
Ingress,1974-10-02 00:07:42.273,1974-10-02 00:07:42.990,0.717
Ingress,1974-10-02 00:07:57.633,1974-10-02 00:07:58.350,0.717
Ingress,1974-10-02 00:08:09.900,1974-10-02 00:08:13.710,3.81
Ingress,1974-10-02 00:08:28.353,1974-10-02 00:08:29.070,0.717
Ingress,1974-10-02 00:08:59.790,1974-10-02 00:09:01.715,1.925
Ingress,1974-10-02 00:09:14.433,1974-10-02 00:09:15.150,0.717
Ingress,1974-10-02 00:09:29.793,1974-10-02 00:09:31.718,1.925
Ingress,1974-10-02 00:09:45.152,1974-10-02 00:09:45.870,0.718
Ingress,1974-10-02 00:10:00.512,1974-10-02 00:10:01.230,0.718
Ingress,1974-10-02 00:10:15.872,1974-10-02 00:10:16.590,0.718
Ingress,1974-10-02 00:10:28.140,1974-10-02 00:10:31.950,3.81
Ingress,1974-10-02 00:10:46.592,1974-10-02 00:10:47.310,0.718
Ingress,1974-10-02 00:11:01.952,1974-10-02 00:11:02.670,0.718
Ingress,1974-10-02 00:11:17.312,1974-10-02 00:11:18.030,0.718
Ingress,1974-10-02 00:11:32.672,1974-10-02 00:11:33.390,0.718
Ingress,1974-10-02 00:11:48.032,1974-10-02 00:11:48.750,0.718
